contentsid,title,address,lat,lng,tag,alltag,introduction
CNTS_300000000013638,제10회 서귀포오페라페스티벌 오페라 카르멘갈라,제주특별자치도 서귀포시 서홍동 551-1,33.2462166,126.550832,"서귀포오페라페스티벌 , 장일범, 서귀포예술의전당, 카르멘, 오페라","서귀포오페라페스티벌 , 장일범, 서귀포예술의전당, 카르멘, 오페라",음악평론가 장일범의 유쾌한 해설과 함께하는 오페라 카르멘갈라
CNTS_300000000013439,Rise Again 희망 콘서트,제주특별자치도 서귀포시 안덕면 서광리 2489,33.29873,126.2900446,"행사, 아티스트, 콘서트 ","행사, 아티스트, 콘서트 ","음악으로 다시 써 내려갈 우리들의 이야기, Rise Again!"
CNTS_200000000015406,제주 아트 프로젝트 <LASP×신라면세점>,,,,"제주작가, 갤러리, 전시관림, 신라면세점제주점, 라스프, LASP, ","제주작가, 갤러리, 전시관림, 신라면세점제주점, 라스프, LASP, ","제주시 연동에 위치한 신라면세점 1층, 제주 기반 신진 작가들을 중심으로 소개하는 [LASP×신라] 갤러리를 개관했다. LSAP는 “Local Artist Supporting Platform(지역을 기반으로 활동하는 신진 작가 지원 플랫폼)”이다. 개관전에서는 총 6인의 작가, 작품 약 30 여 점을 선보인다."
CNTS_200000000009123,유심이감성찜닭,제주특별자치도 제주시 추자면 영흥리 364-18,33.9567036,126.2969646,"추자찜닭,추자닭도리탕,추자음식점,추자식당,추자백숙,추자도,음식,닭볶음탕,찜닭,닭도리탕,삼계탕,백숙,갈비찜,식당,정식,굴비정식,물회,회비빔밥,멍게비빔밥,비빔밥,오리주물럭,삼겹살주물럭,주물럭,치즈계란말이,오리백숙,옻닭백숙,토종닭백숙,아구탕,홍합탕","추자찜닭,추자닭도리탕,추자음식점,추자식당,추자백숙,추자도,음식,닭볶음탕,찜닭,닭도리탕,삼계탕,백숙,갈비찜,식당,정식,굴비정식,물회,회비빔밥,멍게비빔밥,비빔밥,오리주물럭,삼겹살주물럭,주물럭,치즈계란말이,오리백숙,옻닭백숙,토종닭백숙,아구탕,홍합탕,무료 WIFI,공용주차장,화장실,카드결제,현금결제,쉬움",추자바다 바라보며 먹는 감성 찜닭
CNTS_300000000013639,제10회 서귀포오페라페스티벌 오페라 토스카,제주특별자치도 서귀포시 서홍동 551-1,33.2462166,126.550832,"서귀포오페라페스티벌, 임세경, 김재형, 박정민, 서귀포예술의전당, 토스카","서귀포오페라페스티벌, 임세경, 김재형, 박정민, 서귀포예술의전당, 토스카","푸치니가 빚어낸 격정의24시간, 오페라토스카"
CNTS_300000000012654,솔트스톤브이점,제주특별자치도 제주시 이도이동 1765-2,33.4979387,126.5289972,"솔트티라미슈,솔트크림라떼,프라이빗","솔트티라미슈,솔트크림라떼,프라이빗,화장실,무료 WIFI,솔트티라미슈라떼, 솔트슈페너, 솔트크림라떼, 석스톤라떼,어린이 출입가능,가능","솔트스톤 브이점은 건축물이 표현하는 두 문은 ‘1976문’ (76년도에 태어난 태권V), ‘현재의 문’(현재를 살아가는 사람들)을 상징한다."
CNTS_300000000013459,서귀포예술의전당 기획공연 개최 및 문화취약계층 무료초청(목 짧은 기린 지피),제주특별자치도 서귀포시 서홍동 551-1,33.2462166,126.550832,"예술, 서귀포, 서귀포예술의전당, 기획공연, 문화취약계층대상 무료","예술, 서귀포, 서귀포예술의전당, 기획공연, 문화취약계층대상 무료",관광객들과 도민이 함께 할 수 있기를 바라며 서귀포예술의전당 기획공연을 개최합니다.   
CNTS_300000000013684,탐나오 썸머시즌오프 할인바다,제주특별자치도 제주시 영평동 2170-4,33.4495251,126.5743285,"제주갈치요리할인, 제주숙소할인, 제주5성급호텔할인, 제주숙박, 제주할인","제주갈치요리할인, 제주숙소할인, 제주5성급호텔할인, 제주숙박, 제주할인",제주관광상품 최대 30% 할인
CNTS_300000000013634,제주 아세안홀 인증샷 이벤트 - 제주에서 읽GO! 아세안홀에서 남기 GO!,제주특별자치도 서귀포시 중문동 2571,33.2446048,126.421732,"한아세안센터, 제주아세안홀, 여름방학, 읽고찍고남기고, AKC","한아세안센터, 제주아세안홀, 여름방학, 읽고찍고남기고, AKC",제주아세안홀을 방문하고 SNS에 인증 및 설문조사를 참여하시면 추첨을 통해 배스킨라빈스 모바일 상품권을 드립니다.
CNTS_300000000013614,"제주문화예술진흥원 광복 80주년 기념 <그녀들의 얼굴, 역사가 되다: 제주 여성 독립운동가 초상展>",제주특별자치도 제주시 일도이동 852,33.50447690000001,126.53519,"광복 80주년, 윤석남, 초상화, 여성, 독립운동가","광복 80주년, 윤석남, 초상화, 여성, 독립운동가","광복 80주년을 알리는 역사, 시각예술 융합 전시"
CNTS_300000000013635,감귤박물관 개관 20주년 인문학 콘서트 - 기억과 상생의 감귤,제주특별자치도 서귀포시 신효동 1200-6,33.27127979999999,126.6076749,"감귤박물관, 인문학콘서트, 제주감귤, 감귤문화, 감귤과 사람들","감귤박물관, 인문학콘서트, 제주감귤, 감귤문화, 감귤과 사람들",지역주민들에게 듣는 감귤 문화 콘서트
CNTS_300000000013523,I‘m Digging _____. 2025: 서서히 맑아오는 쓰는 생활,제주특별자치도 제주시 삼도이동 1261-3,33.5178403,126.5226459,"디깅, 정화, 목욕탕, 쓰는사람, 쓰는생활, 기록","디깅, 정화, 목욕탕, 쓰는사람, 쓰는생활, 기록",22명의 쓰는 사람들이 쓴 노트 실물 전시
CNTS_200000000015506,예술이 주는 에너지 <제주 미술관 여행>,,,,"미술관투어, 제주미술, 제주예술","미술관투어, 제주미술, 제주예술","때로 시끄러운 일상에서 벗어나 조용한 공간에서 혼자만의 사색의 시간이 그립다. 그럴 때 미술관으로 떠나는 여행은 어떨까? 미술관은 우리에게 아름다운 예술작품들과 함께 사색에 잠길 수 있는 조용한 공간을 제공한다. 여행을 하며 지친 몸과 마음을 쉬게 하고, 예술의 아름다움을 느끼며 새로운 에너지를 얻어보자. 미술관에서의 소중한 경험, 그리고 그 속에서의 자신과의 대화는 당신에게 큰 위로와 영감을 줄 것이다."
CNTS_000000000019278,리버풀펜션,제주특별자치도 제주시 도두봉6길 13,33.50805,126.47207,"펜션,숙소,휴양펜션,주차장,공공와이파이존,해수욕장,자연경관","펜션,숙소,휴양펜션,주차장,공공와이파이존,해수욕장,자연경관",도두봉과 인접한 리버풀펜션
CNTS_300000000013641,광복 80주년 기념 발레 <명성황후>,제주특별자치도 서귀포시 서홍동 551-1,33.2462166,126.550832,"발레, 명성황후, 광복80주년, 서귀포예술의전당, 최소빈발레단","발레, 명성황후, 광복80주년, 서귀포예술의전당, 최소빈발레단",고전발레와 한국의 전서가 만나는 예술의순간 발레 명성황후
CNTS_200000000015486,제주도민과 함께하는 공군음악회,제주특별자치도 서귀포시 서홍동 551-1,33.2462166,126.550832,"음악회,공군음악회","음악회,공군음악회",제주도민과 함께하는 공군음악회
CNTS_300000000013637,제10회 서귀포오페라페스티벌 가족오페라<신콩쥐>,제주특별자치도 서귀포시 서홍동 551-1,33.2462166,126.550832,"서귀포오페라페스티벌, 신콩쥐, 서귀포예술의전당, 가족오페라, 오페라 ","서귀포오페라페스티벌, 신콩쥐, 서귀포예술의전당, 가족오페라, 오페라 ",전래동화 콩쥐팥쥐가 어린이부터 어른까지 모두가 함께 웃고 즐길 수 있는 코믹 오페라
CNTS_000000000022907,성미가든,제주특별자치도 제주시 조천읍 교래1길 2,33.437664,126.67696,"닭볶음탕,샤브샤브,닭고기코스,음식,닭도리탕,백숙,죽,녹두죽","닭볶음탕,샤브샤브,닭고기코스,음식,닭도리탕,백숙,죽,공용주차장,현금결제,카드결제,화장실",진하고 풍성한 닭 코스 요리를 먹을 수 있는 집이다. 닭 샤브샤브 코스가 특히 유명하다.
CNTS_300000000012685,오롯 바이 에퀴녹스,제주특별자치도 제주시 한림읍 금능리 1417,33.389015,126.230963,"반려동물,반려동물동반입장,혼저옵서개,반려동물동반_숙소","반려동물,반려동물동반입장,혼저옵서개,반려동물동반_숙소,공용주차장,화장실,무료 WIFI,동반가능,바베큐장",금능 해수욕장을 품고 있는 금능리에 위치한 오롯 바이 에퀴녹스는 반려동물과 즐거운 추억을 만들기에 좋은 곳이다.
CNTS_300000000013197,여유롭게 즐기는 제주에서 늦캉스 <김녕-월정 행복충전코스> ,,,,#제주청년서포터즈 #제주청년크리에이터 #칠분의오 #코난비치 #르바게트 #카페바람 #청굴물 #모알보알,#제주청년서포터즈 #제주청년크리에이터 #칠분의오 #코난비치 #르바게트 #카페바람 #청굴물 #모알보알,"제주의 동쪽 드라이브 길을 쭉 따라가다보면 저절로 멈춰가게 되는 동네! 김녕-월정 코스를 짜보았습니다. 직진해도 다 즐길 수있을 정도로 쭈욱 길이 잘 정리되었어요! 걸어다녀도 좋고, 차를 타고 가기에도 안성맞춤인 동네 코스를 추천해 보려합니다~ 김녕은 넉넉하고 편안한 마을이라는 뜻을 가져서 아주 늦캉스 스팟으로 제격이예요. 달이 머문다는 뜻을 가진 월정리는 특유의 잔잔한 듯 발랄한 분위기를 가진 동네입니다. 김녕과 월정에서 즐기는 행복 코스! 지금 바로 소개합니다~ "
CNTS_200000000009104,뉴아일랜드민박,제주특별자치도 제주시 추자면 신양리 417,33.9354341,126.3227638,"추자민박,추자신앙,추자마당,숙소,민박,농어촌민박,교통,낚시,산책로","추자민박,추자신앙,추자마당,공용주차장,화장실,흡연구역,음료대,카드결제,현금결제,아주 어려움,없음,동반불가능,유료제공,흡연구역제공,세탁서비스,없음,운행","신앙항뷰가 아름다운 곳
넓은마당 보유"
CNTS_300000000013548,제주문화예술진흥원 신진작가 초청전 '세 방향의 시선',제주특별자치도 제주시 일도이동 852,33.50447690000001,126.53519,"신진작가, 전시, 미술, 김진영, 이미순, 현유정, 조소, 한국화","신진작가, 전시, 미술, 김진영, 이미순, 현유정, 조소, 한국화",신진작가들의 동시대적 시선을 제주에서 교차
CNTS_000000000022826,제주가온29,제주특별자치도 제주시 애월읍 곽지리 378-1,33.432774,126.32172,"펜션,숙소,휴양펜션,수영장,바비큐,조식,카페,웰니스,무장애관광","펜션,숙소,휴양펜션,수영장,바비큐,조식,카페,웰니스,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,임산부 휴게시설,청각장애인 접근성,시각장애인 접근성,저상버스 접근 가능,쉬움",야외 수영장 및 골프연습시설 등 다양한 부대시설을 갖춘 리조트
CNTS_000000000021044,더쉼팡스파&풀빌라,제주특별자치도 서귀포시 표선면 세화리 353,33.3122342,126.8036169,"풀빌라,숙소,스파,펜션,휴양펜션,독채,가족,리조트,올레길,자연경관,무장애관광,농어촌민박","풀빌라,숙소,스파,펜션,휴양펜션,독채,가족,리조트,올레길,자연경관,무장애관광,농어촌민박,공용주차장,무료 WIFI,흡연구역,장애인 화장실,어려움",조경의 아름다움을 뽐내는 공간
CNTS_000000000022244,쇠소깍섬도리왓펜션,서귀포시 하효동 951-1,33.25704,126.62153,"숙소,휴양펜션,펜션,바비큐,체험,공공와이파이존","숙소,휴양펜션,펜션,바비큐,체험,공공와이파이존,공용주차장,화장실,무료 WIFI","서귀포 하효마을, 쇠소깍에서 도보로 3분 거리에 있는 펜션"
CNTS_300000000012649,르카페하도,제주특별자치도 제주시 구좌읍 종달리 1422,33.5091405,126.8999502,"핸드드립,커피,생과일에이드","핸드드립,커피,생과일에이드,공용주차장,화장실,무료 WIFI,핸드드립 커피, 유기농차, 생과일에이드, 깔라만시파인애플,어린이 출입가능,가능",르카페는 제주도에서 가장 아름답다고 소문난 하도리 해안도로에 위치해있다.
