contentsid,title,address,lat,lng,tag,alltag,introduction
CNTS_000000000022244,쇠소깍섬도리왓펜션,서귀포시 하효동 951-1,33.25704,126.62153,"숙소,휴양펜션,펜션,바비큐,체험,공공와이파이존","숙소,휴양펜션,펜션,바비큐,체험,공공와이파이존,공용주차장,화장실,무료 WIFI","서귀포 하효마을, 쇠소깍에서 도보로 3분 거리에 있는 펜션"
CNTS_200000000015028,블리핸드메이드,제주특별자치도 제주시 조천읍 신촌리 1374-8,33.5195621,126.6191842,"조천, 신촌리, 소품샵, 원데이클래스, 구체관절인형옷, 재봉틀","조천, 신촌리, 소품샵, 원데이클래스, 구체관절인형옷, 재봉틀",다양한 종류의 구체관절인형이 반기는 소품샵
CNTS_300000000013549,"제주민속촌 수국축제 - 수국 한송이, 기억 한 조각 로망을 대여해드립니다",제주특별자치도 서귀포시 표선면 표선리 40-1,33.3225098,126.8418176,"제주여행, 6월제주축제, 한복체험, 수국축제, 민속체험, 스탬프투어, 민속촌","제주여행, 6월제주축제, 한복체험, 수국축제, 민속체험, 스탬프투어, 민속촌",수국과 전통이 어우러진 제주민속촌에서 여름의 감성과 체험을 즐기는 감성 축제
CNTS_300000000013647,제주민속촌 놀멍쉬멍상대회,제주특별자치도 서귀포시 표선면 표선리 40-1,33.3225098,126.8418176,"제주여행, 8월축제, 명상대회, 전통체험, 서귀포여행","제주여행, 8월축제, 명상대회, 전통체험, 서귀포여행", ‘놀멍쉬멍..상’ 다례와 명상이 만나는 고요한 시간의 초대
CNTS_200000000011914,제주의 마을에서 즐기는 힐링투어 <제주로 로캉스 떠나요 2021>,,,,"로캉스,마을여행,로컬,바캉스,머체왓,의귀리,동백마을,하효동,신흥2리","로캉스,마을여행,로컬,바캉스,머체왓,의귀리,동백마을,하효동,신흥2리","제주관광공사는 지금까지 알려지지 않은 제주의 숨겨진 매력을 찾을 수 있는 마을여행 프로그램인 '제주로 로캉스 떠나요'를 운영한다. '로캉스'는 지역을 뜻하는 로컬(Local)과 여행/휴가를 뜻하는 바캉스(Vacance)가 합쳐진 단어로, 지역주민과 함께 다양한 활동과 체험을 통해 농촌마을만의 특별한 매력을 느낄 수 있는 프로그램으로 구성되어있다. 이번에 소개된 머체왓, 의귀리, 동백마을, 하효마을 등 매력넘치고 개성있는 제주마을의 콘텐츠를 통해 코로나19로 지친 일상에서 벗어나, 힐링과 치유, 안식을 느껴보는 시간을 가져보자!"
CNTS_300000000013762,제 8회 하하페스티벌,제주특별자치도 제주시 일도일동 1211,33.5141402,126.5277922,"하하패스티벌, 일도이동, 산지천, 일도일동, 지역상생축제","하하패스티벌, 일도이동, 산지천, 일도일동, 지역상생축제",다양한 문화공연 및 체험부스 운영 등을 통해 침체된 원도심에 활력을 불어넣고 골목 상권 활성화 및 주민 화합의 장 마련
CNTS_200000000013424,제14회 서귀포봄맞이축제,제주특별자치도 서귀포시 서귀동 512-1,33.2455319,126.564526,"축제,행사,봄꽃,마을산책,문화관광,체험,봄","축제,행사,봄꽃,마을산책,문화관광,체험,봄",가장 일찍 봄이 시작되는 서귀포에서 지역 전통문화에 기반한 제 14회 서귀포봄맞이축제가 개최될 예정입니다. 
CNTS_000000000018981,제주도통나무펜션,제주특별자치도 서귀포시 남원읍 남원리 2355-8,33.2762767,126.7055972,"펜션,숙소,휴양펜션,통나무집민박,자연학습장,바비큐,체험,낚시,독채,가족","펜션,숙소,휴양펜션,통나무집민박,자연학습장,바비큐,체험,낚시,독채,가족,공용주차장,현금결제,카드결제,화장실,무료 WIFI,흡연구역,편의점,음료대,유도 및 안내시설,경보 및 피난시설,아주 어려움",남원 영화박물관과 해안경승지 맞은편에 위치한 펜션
CNTS_000000000022545,알랑가게스트하우스,제주특별자치도 서귀포시 안덕면 사계리 2078,33.2288607,126.3065651,"게스트하우스,숙소,체험,자연경관,힐링쉼터,힐링",게스트하우스,관광지와 가깝고 조망이 좋은 게스트하우스
CNTS_300000000013628,제5회 웰니스 숲힐링 축제 - 한 개의 별을 노래하자,제주특별자치도 서귀포시 호근동 산 1,33.3025489,126.5245747,"체험, 웰니스, 청년, 1박2일, 힐링, 서귀포치유의숲","체험, 웰니스, 청년, 1박2일, 힐링, 서귀포치유의숲","별빛 아래, 나를 만나는 밤 청년들을 위한 단 하루의 특별한 쉼, 서귀포치유의숲에서의 여름밤 1박 2일 힐링 프로그램"
CNTS_300000000013530,제 26회 제주과학축전,제주특별자치도 제주시 오라일동 1006,33.4949908,126.5177961,"제주과학축제, 제주과학문화협회, 과학체험, 과학탐구, 가족과학, 제주 행사","제주과학축제, 제주과학문화협회, 과학체험, 과학탐구, 가족과학, 제주 행사",다양한 과학·기술 관련 과학체험프로그램 110개와 과학경연 3종목을 운영하여 관람객들이 참여를 통해 함께 즐기는 과학문화축제
CNTS_300000000013047,친환경 라이프 스타일 여행-제주에서 찾는 무해한 즐거움,,,,"친환경, 친환경라이프, 비건, 환경, 친환경체험, 비건맛집, 채식, 비건베이커리, 비건레트로","친환경, 친환경라이프, 비건, 환경, 친환경체험, 비건맛집, 채식, 비건베이커리, 비건레트로","비건 식당과 비건 베이커리 등 관련 맛집들이 늘어나고, 비건 레토르트(Retort food) 식품 또한 간편함과 맛을 앞세워 인기를 끌고 있다. 과거보다 맛과 품질이 크게 향상된 제품이 등장하며 채식주의자뿐만 아니라 일반 소비자들 사이에서도 관심이 높아지고 있다."
CNTS_300000000013770,제14회 그린 로하스 엑스포 및 ESG 환경 포럼,제주특별자치도 제주시 노형동 1534 제주한라컨벤션센터 1층 컨벤션홀,33.4783294,126.4743375,"제주, 친환경, 녹색산업, 환경포럼, 제주친환경","제주, 친환경, 녹색산업, 환경포럼, 제주친환경,,","제14회 그린 로하스 엑스포는 ESG와 친환경, 녹색산업을 주제로 친환경 기술·제품 전시와 체험, 환경 포럼을 통해 지속가능한 미래를 함께 고민하는 축제입니다."
CNTS_300000000012808,세계가 인정한 제주 마을여행 통합브랜드 <카름스테이>,,,,"카름스테이, 제주마을관광, 최우수마을선정, 신흥2리동백마을, 세화해녀체험","카름스테이, 제주마을관광, 최우수마을선정, 신흥2리동백마을, 세화해녀체험","마을여행 통합브랜드 ‘카름스테이’가 지난 5일 인도 뉴델리에서 아시아 태평양관광협회에서 주관하는 파타 골드 어워즈 2023(PATA Gold Awards 2023) 지역 기반 관광 부문 골드 어워즈를 수상했다. 사회적 책임 분야의 지역관광 부문에서 올해 대표사업으로 선정된 카름스테이는 지역 사회기반의 관광모델, 민관협력 속 주민주도 운영 체계, 관광을 통한 주민 소득 창출 등 지속 가능한 관광 관점에서 높은 평가를 받았다.
"
CNTS_200000000007537,유네스코가 주목하는 생물권 보전지역 <하례리에서 즐기는 제주여행>,,,,"친구,커플,맑음,경관/포토,체험관광,내창트레킹,오름,바릇잡이,감귤상웨빵,포토스팟","친구,커플,맑음,경관/포토,체험관광,내창트레킹,오름,바릇잡이,감귤상웨빵","제주에는 유네스코가 인정하는 생물권 보전지역인 서귀포시 남원읍 하례리가 있다. 이곳은 2014년 4월 제주특별자치도 생태관광마을로 지정되었고, 같은 해 12월 환경부 생태관광지로 선정되기도 했다. 소중한 자연유산을 가지고 있는 하례리에는 특별하게도 지역 주민들이 직접 인솔하여 마을의 이야기를 들려주고 체험하는 프로그램이 준비되어 있다. 내창트레킹, 고살리숲길 탐방, 감귤상웨빵 체험, 걸서악오름, 바릇잡이 등 하례리 마을의 매력에 함께 빠져보자."
